Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-18 00:00:00-05:00,27.70821424,30.44858993,24.35887032,26.79475784,62546380,0,0
1999-11-19 00:00:00-05:00,26.14773485,26.18579691,24.24469884,24.58724594,15234146,0,0
1999-11-22 00:00:00-05:00,25.15814548,26.79475784,24.39693074,26.79475784,6577870,0,0
1999-11-23 00:00:00-05:00,25.881299,26.5663929,24.35886955,24.35886955,5975611,0,0
1999-11-24 00:00:00-05:00,24.43499965,25.53876167,24.35887718,25.00591087,4843231,0,0
1999-11-26 00:00:00-05:00,24.89171805,25.27232538,24.81559723,25.08202171,1729466,0,0
1999-11-29 00:00:00-05:00,24.9678446,25.84324063,24.70141845,25.65293694,4074751,0,0
1999-11-30 00:00:00-05:00,25.57681331,26.14772437,24.92978142,25.69099617,4310034,0,0
1999-12-01 00:00:00-05:00,25.69100158,26.45221649,25.50069785,26.14772987,2957329,0,0
1999-12-02 00:00:00-05:00,26.64251412,27.40373048,26.29996717,26.87087822,3069868,0,0
1999-12-03 00:00:00-05:00,27.36567123,27.82239947,26.98506382,27.09924507,3041629,0,0
1999-12-06 00:00:00-05:00,27.55597372,28.27912646,27.51791168,27.86046028,2250780,0,0
1999-12-07 00:00:00-05:00,27.86045768,28.01269932,26.98506011,27.55597115,2215970,0,0
1999-12-08 00:00:00-05:00,27.55597013,27.78433258,27.28954564,27.5179081,1887859,0,0
1999-12-09 00:00:00-05:00,27.55597604,27.97464551,27.55597604,27.89852142,2029057,0,0
1999-12-10 00:00:00-05:00,27.82239883,27.97464374,27.25148773,27.25148773,1664738,0,0
1999-12-13 00:00:00-05:00,27.70822525,28.16495688,27.02313268,27.70822525,4020508,0,0
1999-12-14 00:00:00-05:00,27.63209228,27.63209228,25.61487426,26.18578529,2328928,0,0
1999-12-15 00:00:00-05:00,25.57681675,25.76712209,24.96784682,25.38651466,2917766,0,0
1999-12-16 00:00:00-05:00,25.5768122,28.77391434,25.5768122,28.77391434,2583923,0,0
1999-12-17 00:00:00-05:00,28.24107016,28.69779842,27.67015903,27.97464561,3708055,0,0
1999-12-20 00:00:00-05:00,28.16494771,28.58361391,28.08882363,28.54555511,1196828,0,0
1999-12-21 00:00:00-05:00,28.43137068,28.43137068,28.01270126,28.39330864,2259448,0,0
1999-12-22 00:00:00-05:00,28.39330523,28.96421623,28.20300156,28.96421623,1905754,0,0
1999-12-23 00:00:00-05:00,28.92616017,30.44858965,28.88809814,30.29634476,2159491,0,0
1999-12-27 00:00:00-05:00,30.4105247,32.38968218,30.182159,32.16131973,2029616,0,0
1999-12-28 00:00:00-05:00,33.03671645,37.45176315,32.84641277,37.45176315,3560007,0,0
